Player Name,Team,Position,Pts,GS,A,CS,B,BPS,PPG,MP,Cost,TSB,GC,OG,PS,PM,Season
Shoretire,MUN,MID,1,0,0,0,0,3,1.0,15,£4.5,0.0%,0,0,0,0,2021
Rúnarsson,ARS,GKP,0,0,0,0,0,0,0.0,0,£4,0.5%,0,0,0,0,2021
Willian,ARS,MID,0,0,0,0,0,0,0.0,0,£6.3,0.1%,0,0,0,0,2021
Bellerín,ARS,DEF,0,0,0,0,0,0,0.0,0,£4.8,0.2%,0,0,0,0,2021
Kolasinac,ARS,DEF,0,0,0,0,0,6,0.0,91,£4.2,0.1%,5,0,0,0,2021
Torreira,ARS,MID,0,0,0,0,0,0,0.0,0,£4.5,0.1%,0,0,0,0,2021
Pröpper,BHA,MID,0,0,0,0,0,0,0.0,0,£4.5,0.0%,0,0,0,0,2021
Ryan,BHA,GKP,0,0,0,0,0,0,0.0,0,£4.5,0.0%,0,0,0,0,2021
Jahanbakhsh,BHA,MID,0,0,0,0,0,0,0.0,0,£5.5,0.0%,0,0,0,0,2021
Bernardo F.,BHA,DEF,0,0,0,0,0,0,0.0,0,£4,0.0%,0,0,0,0,2021
Balcombe,BRE,GKP,0,0,0,0,0,0,0.0,0,£4,0.0%,0,0,0,0,2021
Zamburek,BRE,MID,0,0,0,0,0,0,0.0,0,£4.4,0.5%,0,0,0,0,2021
Gunnarsson,BRE,GKP,0,0,0,0,0,0,0.0,0,£3.9,1.1%,0,0,0,0,2021
Dervişoğlu,BRE,FWD,0,0,0,0,0,0,0.0,0,£5.4,0.0%,0,0,0,0,2021
Bardsley,BUR,DEF,0,0,0,0,0,0,0.0,0,£3.9,0.5%,0,0,0,0,2021
Norris,BUR,GKP,0,0,0,0,0,0,0.0,0,£4.3,0.1%,0,0,0,0,2021
Benson,BUR,MID,0,0,0,0,0,0,0.0,0,£4.5,0.0%,0,0,0,0,2021
Peacock-Farrell,BUR,GKP,0,0,0,0,0,0,0.0,0,£4.5,0.0%,0,0,0,0,2021
Giroud,CHE,FWD,0,0,0,0,0,0,0.0,0,£6.5,0.0%,0,0,0,0,2021
Batshuayi,CHE,FWD,0,0,0,0,0,0,0.0,0,£5.5,0.0%,0,0,0,0,2021
Abraham,CHE,FWD,0,0,0,0,0,0,0.0,0,£6.5,0.1%,0,0,0,0,2021
Ampadu,CHE,DEF,0,0,0,0,0,0,0.0,0,£4.5,0.0%,0,0,0,0,2021
Kelly,CRY,DEF,0,0,0,0,0,0,0.0,0,£3.8,2.5%,0,0,0,0,2021
Praet,LEI,MID,0,0,0,0,0,0,0.0,0,£4.9,0.0%,0,0,0,0,2021
Adrián,LIV,GKP,0,0,0,0,0,0,0.0,0,£4.3,0.2%,0,0,0,0,2021
Shaqiri,LIV,MID,0,0,0,0,0,0,0.0,0,£5.9,0.0%,0,0,0,0,2021
Phillips,LIV,DEF,0,0,0,0,0,0,0.0,0,£4.2,0.1%,0,0,0,0,2021
R.Williams,LIV,DEF,0,0,0,0,0,0,0.0,0,£4.4,0.0%,0,0,0,0,2021
Davies,LIV,DEF,0,0,0,0,0,0,0.0,0,£4,0.1%,0,0,0,0,2021
D.Henderson,MUN,GKP,0,0,0,0,0,0,0.0,0,£4.7,0.4%,0,0,0,0,2021
M.Longstaff,NEW,MID,0,0,0,0,0,0,0.0,0,£4.5,0.0%,0,0,0,0,2021
McGovern,NOR,GKP,0,0,0,0,0,0,0.0,0,£3.9,1.1%,0,0,0,0,2021
Stiepermann,NOR,MID,0,0,0,0,0,0,0.0,0,£5,0.0%,0,0,0,0,2021
Hernández,NOR,MID,0,0,0,0,0,0,0.0,0,£4.9,0.0%,0,0,0,0,2021
Hugill,NOR,FWD,0,0,0,0,0,0,0.0,0,£5.4,0.0%,0,0,0,0,2021
Zimmermann,NOR,DEF,0,0,0,0,0,16,0.0,156,£4.4,0.0%,8,0,0,0,2021
