Player Name,Team,Position,Pts,GS,A,CS,B,BPS,PPG,MP,Cost,TSB,GC,OG,PS,PM,Season
Pugh,BOU,MID,64,2,3,5,6,224,3.0,1329,£4.6,0.4%,24,0,0,0,2016
Caballero,MCI,GKP,64,0,0,6,1,295,3.8,1452,£4.8,3.8%,13,0,1,0,2016
Adrián,WHU,GKP,64,0,0,6,6,311,4.0,1440,£4.6,1.7%,25,0,0,0,2016
Callum Wilson,BOU,FWD,63,6,1,6,2,170,3.1,1361,£6,1.1%,25,0,0,0,2016
Morgan,LEI,DEF,63,1,1,5,0,360,2.3,2430,£4.6,10.3%,45,0,0,0,2016
Okazaki,LEI,FWD,63,3,1,7,3,220,2.1,1565,£5.6,1.6%,26,0,0,0,2016
Fernández,SWA,DEF,63,0,1,6,4,435,2.3,2430,£4.2,1.9%,41,0,0,0,2016
Davies,EVE,MID,63,2,3,8,0,248,2.6,1544,£4.4,2.3%,17,0,0,0,2016
Elmohamady,HUL,MID,62,0,2,3,1,428,1.9,2523,£4.6,0.2%,63,1,0,0,2016
Huddlestone,HUL,MID,62,1,2,4,5,348,2.0,2025,£4.5,0.2%,47,1,0,0,2016
Austin,SOU,FWD,62,6,1,6,10,218,4.1,934,£6.3,1.8%,8,0,0,0,2016
Whelan,STK,MID,62,0,1,7,3,380,2.1,2276,£4.2,0.7%,40,1,0,0,2016
Wilshere,BOU,MID,61,0,3,5,2,312,2.1,1950,£5.8,0.5%,45,0,0,0,2016
Dann,CRY,DEF,61,3,1,2,4,310,2.7,1752,£5.1,2.1%,36,0,0,0,2016
Lingard,MUN,MID,60,1,3,7,3,227,2.4,1360,£5.6,0.8%,12,0,0,0,2016
Cresswell,WHU,DEF,60,0,2,5,1,334,2.3,2115,£5.1,0.3%,35,0,0,0,2016
Stephens,SOU,DEF,60,0,1,6,10,341,3.5,1471,£4.2,5.2%,24,0,0,0,2016
Stones,MCI,DEF,59,0,0,4,4,435,2.2,2014,£4.6,13.3%,29,0,0,0,2016
Friend,MID,DEF,59,0,3,4,6,371,2.5,1964,£4.2,1.8%,35,0,0,0,2016
Adam,STK,MID,59,1,4,6,5,218,2.5,1491,£4.6,0.3%,23,0,0,0,2016
Ramírez,MID,MID,59,2,3,6,6,244,2.5,1539,£5.2,0.5%,22,0,0,0,2016
Ndidi,LEI,MID,59,2,3,4,2,288,3.5,1521,£4.6,0.7%,28,0,0,0,2016
Gray,LEI,MID,58,1,4,4,0,210,1.9,1049,£4.8,0.5%,20,0,0,0,2016
Cameron,STK,DEF,58,0,1,6,5,340,3.1,1629,£4.2,0.4%,25,0,0,0,2016
Fabio,MID,DEF,58,0,0,6,8,347,2.4,1847,£4.2,0.4%,30,0,0,0,2016
Kompany,MCI,DEF,57,3,0,5,6,227,5.2,820,£6,3.2%,6,0,0,0,2016
Long,SOU,FWD,57,3,2,2,2,159,1.8,1262,£6.1,3%,23,0,0,1,2016
Kaboul,WAT,DEF,57,2,0,4,1,342,2.5,1910,£4.3,0.6%,36,0,0,0,2016
Ramsey,ARS,MID,56,1,4,4,3,240,2.4,1236,£7.6,1.1%,20,0,0,0,2016
Johnson,STK,DEF,56,0,0,6,3,376,2.4,1957,£4.7,0.1%,34,0,0,0,2016
Jones,SUN,DEF,56,1,0,5,6,368,2.1,2270,£4.4,0.1%,49,0,0,0,2016
Denayer,SUN,DEF,56,0,0,6,2,320,2.3,1878,£4.7,0.1%,30,1,0,0,2016
Aké,CHE,DEF,55,3,1,3,8,267,4.6,834,£3.9,6.1%,20,0,0,0,2016
Cleverley,WAT,MID,55,0,3,3,0,294,2.0,1848,£5.1,0.1%,40,0,0,0,2016
Sagna,MCI,DEF,55,0,1,6,3,316,3.2,1346,£5.3,1.7%,14,0,0,0,2016
Jones,MUN,DEF,55,0,0,5,4,362,3.1,1584,£4.5,0.7%,14,0,0,0,2016
