Player Name,Team,Position,Pts,GS,A,CS,B,BPS,PPG,MP,Cost,TSB,GC,OG,PS,PM,Season
Mina,EVE,DEF,33,2,0,1,7,115,4.7,594,£4.3,0.4%,9,0,0,0,2022
Salisu,SOU,DEF,33,0,1,1,2,305,1.5,1971,£4.2,0.1%,41,1,0,0,2022
Rothwell,BOU,MID,33,0,1,3,0,167,1.6,1010,£4.9,0.0%,15,0,0,0,2022
Lingard,NFO,MID,33,0,1,5,0,93,1.9,918,£5.4,1.1%,17,0,0,0,2022
McKennie,LEE,MID,31,0,1,1,0,135,1.6,1434,£4.6,0.0%,35,0,0,0,2022
Greenwood,LEE,FWD,30,1,2,0,1,107,1.7,410,£4.1,10.8%,11,0,0,0,2022
Firpo,LEE,DEF,30,1,2,1,3,187,1.6,1364,£4.5,0.1%,33,0,0,0,2022
Mendy,LEI,MID,30,1,0,0,1,142,1.6,746,£4.2,0.4%,13,0,0,0,2022
Thiago,LIV,MID,30,0,0,2,0,194,1.7,1252,£5.1,0.6%,23,0,0,0,2022
Toffolo,NFO,DEF,30,0,0,2,1,134,1.6,933,£4.3,0.1%,17,0,0,0,2022
Anderson,NEW,MID,30,0,1,1,2,93,1.4,395,£4.3,0.1%,7,0,0,0,2022
Jansson,BRE,DEF,29,1,0,2,0,147,2.4,722,£4.2,0.3%,14,0,0,0,2022
Ajer,BRE,DEF,29,0,0,4,0,129,3.2,763,£4.5,0.1%,14,0,0,0,2022
Baptiste,BRE,MID,29,0,2,1,0,123,1.3,600,£4.5,0.2%,6,0,0,0,2022
Lyanco,SOU,DEF,29,1,1,0,0,209,1.4,1173,£4.4,0.0%,26,0,0,0,2022
Johnson,WHU,DEF,29,0,0,2,1,164,1.7,860,£4.4,0.1%,13,0,0,0,2022
Jiménez,WOL,FWD,29,0,2,2,0,65,1.9,839,£6.5,0.3%,18,0,0,0,2022
Iversen,LEI,GKP,29,0,0,1,2,183,2.4,1080,£3.9,5.1%,22,1,0,0,2022
Lewis,MCI,DEF,29,0,0,2,0,168,2.1,900,£3.8,1.1%,8,0,0,0,2022
Guedes,WOL,MID,29,1,1,2,1,85,2.2,703,£5.8,0.2%,12,0,0,0,2022
Schade,BRE,MID,29,0,1,3,0,76,1.6,723,£4.9,0.0%,7,0,0,0,2022
Downes,WHU,MID,27,0,0,1,0,104,1.3,752,£4.2,0.3%,14,0,0,0,2022
